ID,Task,Status,Priority,Date Submitted,Due Date
Task-1054,VPN connection problems for remote employees,Open,Low,2023-07-05 00:00:00,2025-08-15
Task-1053,Intrusion detection system alerts,Open,Medium,2023-07-14 00:00:00,2025-08-15
Task-1052,Email server downtime,In Progress,High,2023-09-22 00:00:00,2025-08-15
Task-1051,Inventory management system errors,In Progress,High,2023-08-20 00:00:00,2025-08-15
Task-1050,Security vulnerability identified,In Progress,Medium,2023-08-15 00:00:00,2025-08-15
Task-1049,Email server downtime,Closed,High,2023-08-28 00:00:00,2025-08-15
Task-1048,Software application crashing on startup,In Progress,Medium,2023-11-29 00:00:00,2025-08-15
Task-1047,Login authentication problems,Closed,High,2023-08-18 00:00:00,2025-08-15
Task-1046,Employee unable to access shared files,Open,High,2023-09-26 00:00:00,2025-08-15
Task-1045,Email server downtime,Closed,Low,2023-10-24 00:00:00,2025-08-15
Task-1044,Inventory management system errors,In Progress,Low,2023-09-07 00:00:00,2025-08-15
Task-1043,Mobile application not syncing data,Open,High,2023-09-02 00:00:00,2025-08-15
Task-1042,Software application crashing on startup,Open,High,2023-07-25 00:00:00,2025-08-15
Task-1041,Employee unable to access shared files,Open,Low,2023-08-26 00:00:00,2025-08-15
Task-1040,Email server downtime,Closed,Low,2023-07-29 00:00:00,2025-08-15
Task-1039,VPN connection problems for remote employees,In Progress,Low,2023-11-09 00:00:00,2025-08-15
Task-1038,File server running out of storage space,Open,Medium,2023-08-19 00:00:00,2025-08-15
Task-1037,System updates causing compatibility issues,Open,High,2023-06-04 00:00:00,2025-08-15
Task-1036,Security vulnerability identified,Open,Low,2023-09-07 00:00:00,2025-08-15
Task-1035,VPN connection problems for remote employees,Closed,High,2023-08-20 00:00:00,2025-08-15
Task-1034,Security vulnerability identified,Closed,Medium,2023-09-21 00:00:00,2025-08-15
Task-1033,File server running out of storage space,In Progress,Medium,2023-08-29 00:00:00,2025-08-15
Task-1032,VoIP phone system issues,Closed,Low,2023-11-26 00:00:00,2025-08-15
Task-1031,Inventory management system errors,Open,Medium,2023-08-10 00:00:00,2025-08-15
Task-1030,System updates causing compatibility issues,In Progress,High,2023-10-15 00:00:00,2025-08-15
Task-1029,VoIP phone system issues,Open,Low,2023-11-11 00:00:00,2025-08-15
Task-1028,Hardware malfunction in the server room,Open,High,2023-10-12 00:00:00,2025-08-15
Task-1027,System updates causing compatibility issues,Closed,High,2023-09-15 00:00:00,2025-08-15
Task-1026,VoIP phone system issues,In Progress,Medium,2023-08-12 00:00:00,2025-08-15
Task-1025,Network connectivity issues in the office,Closed,Medium,2023-08-20 00:00:00,2025-08-15
Task-1024,Website performance degradation,Closed,Medium,2023-09-22 00:00:00,2025-08-15
Task-1023,Hardware malfunction in the server room,In Progress,Medium,2023-08-27 00:00:00,2025-08-15
Task-1022,Network connectivity issues in the office,Open,Medium,2023-06-06 00:00:00,2025-08-15
Task-1021,Mobile application not syncing data,Open,Low,2023-07-03 00:00:00,2025-08-15
Task-1020,Security vulnerability identified,In Progress,High,2023-11-30 00:00:00,2025-08-15
Task-1019,Database connection failure,Open,High,2023-09-19 00:00:00,2025-08-15
Task-1018,Customer data not loading in CRM,In Progress,High,2023-10-26 00:00:00,2025-08-15
Task-1017,Intrusion detection system alerts,In Progress,High,2023-08-13 00:00:00,2025-08-15
Task-1016,Security vulnerability identified,Closed,Medium,2023-08-29 00:00:00,2025-08-15
Task-1015,Printer not responding to print commands,In Progress,High,2023-07-23 00:00:00,2025-08-15
Task-1014,Printer not responding to print commands,Closed,Low,2023-10-08 00:00:00,2025-08-15
Task-1013,Network connectivity issues in the office,Open,Low,2023-08-05 00:00:00,2025-08-15
Task-1012,Data backup failure,Open,High,2023-07-03 00:00:00,2025-08-15
Task-1011,Employee unable to access shared files,Open,High,2023-07-11 00:00:00,2025-08-15
Task-1010,Website performance degradation,Open,Low,2023-11-01 00:00:00,2025-08-15
Task-1009,Hardware malfunction in the server room,Closed,Low,2023-10-28 00:00:00,2025-08-15
Task-1008,Website performance degradation,Open,Medium,2023-09-05 00:00:00,2025-08-15
Task-1007,Hardware malfunction in the server room,In Progress,Low,2023-06-08 00:00:00,2025-08-15
Task-1006,Security vulnerability identified,In Progress,Medium,2023-08-01 00:00:00,2025-08-15
Task-1005,Mobile application not syncing data,In Progress,Medium,2023-11-04 00:00:00,2025-08-15
Task-1004,Software application crashing on startup,Closed,Medium,2023-10-14 00:00:00,2025-08-15
Task-1003,Network connectivity issues in the office,Open,Medium,2023-10-21 00:00:00,2025-08-15
Task-1002,File server running out of storage space,Open,Medium,2023-07-07 00:00:00,2025-08-15
Task-1001,Data backup failure,Open,High,2023-08-17 00:00:00,2025-08-15
